,MovieID,Title,Genres,MovieIDm,Year,1,2,3,4,5,n_5_star,n_4_star,n_ratings,WeightedScore
527,541,Blade Runner (1982),Film-Noir|Sci-Fi,m541,1982,13,65,237,587,898,898,587,3285,1282.1
1131,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,m1221,1974,20,48,180,503,941,941,503,3136,1248.6
851,912,Casablanca (1942),Drama|Romance|War,m912,1942,14,32,189,450,984,984,450,3103,1247.6
1110,1200,Aliens (1986),Action|Sci-Fi|Thriller|War,m1200,1986,26,74,299,667,754,754,667,3241,1225.3000000000002
858,919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,m919,1939,20,48,265,538,847,847,538,3103,1205.5
1167,1259,Stand by Me (1986),Adventure|Comedy|Drama,m1259,1986,3,54,308,822,598,598,822,3205,1186.6
1123,1213,GoodFellas (1990),Crime|Drama,m1213,1990,18,44,225,547,823,823,547,3027,1181.0
1059,1136,Monty Python and the Holy Grail (1974),Comedy,m1136,1974,21,46,168,505,859,859,505,2963,1173.6
863,924,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,m924,1968,45,103,298,513,757,757,513,2986,1129.6
971,1036,Die Hard (1988),Action|Thriller,m1036,1988,16,57,261,706,626,626,706,2998,1124.4
1288,1387,Jaws (1975),Action|Horror,m1387,1975,20,79,332,564,702,702,564,2963,1112.8000000000002
2898,3114,Toy Story 2 (1999),Animation|Children's|Comedy,m3114,1999,25,44,214,578,724,724,578,2887,1112.8
2586,2791,Airplane! (1980),Comedy,m2791,1980,42,103,302,700,584,584,700,3015,1105.0
2708,2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,m2916,1990,41,169,538,883,365,365,883,3244,1096.2
2426,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,m2628,1999,143,324,651,732,400,400,732,3382,1096.0
1199,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,m1291,1989,3,52,276,691,606,606,691,2925,1095.3
1478,1610,"Hunt for Red October, The (1990)",Action|Thriller,m1610,1990,12,53,290,779,518,518,779,2949,1082.5
33,34,Babe (1995),Children's|Comedy|Drama,m34,1995,59,118,340,671,563,563,671,2985,1079.8
1563,1704,Good Will Hunting (1997),Drama,m1704,1997,9,43,240,630,626,626,630,2804,1062.8000000000002
713,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,m750,1963,8,37,115,379,828,828,379,2574,1042.5
1215,1307,When Harry Met Sally... (1989),Comedy|Romance,m1307,1989,12,69,276,646,565,565,646,2779,1032.1
2162,2355,"Bug's Life, A (1998)",Animation|Children's|Comedy,m2355,1998,27,77,407,798,394,394,798,2895,1015.4
2958,3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,m3175,1999,46,110,427,755,390,390,755,2873,996.1
2710,2918,Ferris Bueller's Day Off (1986),Comedy,m2918,1986,14,48,243,614,554,554,614,2641,989.4000000000001
1820,2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,m2000,1987,18,82,359,775,393,393,775,2795,988.0
1212,1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,m1304,1969,8,25,216,574,596,596,574,2589,988.0
2775,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,m2987,1988,47,147,494,758,353,353,758,2910,985.9
847,908,North by Northwest (1959),Drama|Thriller,m908,1959,6,11,128,497,673,673,497,2485,982.6
1135,1225,Amadeus (1984),Drama,m1225,1984,9,33,185,529,626,626,529,2537,979.1
2748,2959,Fight Club (1999),Drama,m2959,1999,51,92,212,435,661,661,435,2547,970.4000000000001
2400,2599,Election (1999),Comedy,m2599,1999,34,74,284,702,428,428,702,2652,955.0
2599,2804,"Christmas Story, A (1983)",Comedy|Drama,m2804,1983,18,44,185,455,650,650,455,2457,952.9000000000001
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,m32,1995,21,106,301,589,494,494,589,2594,942.5
1295,1394,Raising Arizona (1987),Comedy,m1394,1987,30,83,255,525,541,541,525,2500,928.0
1050,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,m1127,1989,40,120,527,683,345,345,683,2743,926.0
1788,1968,"Breakfast Club, The (1985)",Comedy|Drama,m1968,1985,18,90,364,654,413,413,654,2606,923.9000000000001
3238,3471,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,m3471,1977,12,65,310,567,497,497,567,2515,921.6
1139,1230,Annie Hall (1977),Comedy|Romance,m1230,1977,33,53,187,480,581,581,480,2395,913.5
1618,1784,As Good As It Gets (1997),Comedy|Drama,m1784,1997,28,81,268,604,443,443,604,2471,896.9000000000001
737,780,Independence Day (ID4) (1996),Action|Sci-Fi|War,m780,1996,96,222,450,627,335,335,627,2692,894.0
2592,2797,Big (1988),Comedy|Fantasy,m2797,1988,19,86,335,702,349,349,702,2542,893.5
576,590,Dances with Wolves (1990),Adventure|Drama|Western,m590,1990,38,95,308,521,489,489,521,2461,893.0
3550,3793,X-Men (2000),Action|Sci-Fi,m3793,2000,29,89,351,697,345,345,697,2553,892.2
1155,1247,"Graduate, The (1967)",Drama|Romance,m1247,1967,9,29,180,468,575,575,468,2304,888.7
216,223,Clerks (1994),Comedy,m223,1994,39,84,276,527,486,486,527,2425,886.1
1129,1219,Psycho (1960),Horror|Thriller,m1219,1960,17,36,182,447,581,581,447,2291,882.8000000000001
1275,1374,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,m1374,1982,31,86,323,593,415,415,593,2456,876.6
1160,1252,Chinatown (1974),Film-Noir|Mystery|Thriller,m1252,1974,7,27,141,392,618,618,392,2195,865.6
1781,1961,Rain Man (1988),Drama,m1961,1988,6,40,256,603,425,425,603,2358,865.0
1017,1089,Reservoir Dogs (1992),Crime|Thriller,m1089,1992,38,45,181,439,556,556,439,2254,860.5
3248,3481,High Fidelity (2000),Comedy,m3481,2000,28,82,256,601,406,406,601,2380,859.3
1743,1923,There's Something About Mary (1998),Comedy,m1923,1998,69,79,245,499,479,479,499,2349,859.0
107,111,Taxi Driver (1976),Drama|Thriller,m111,1976,13,43,185,461,538,538,461,2239,855.0999999999999
367,377,Speed (1994),Action|Romance|Thriller,m377,1994,53,155,499,692,251,251,692,2593,851.7
2131,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,m2324,1997,26,32,112,348,634,634,348,2134,848.2
1186,1278,Young Frankenstein (1974),Comedy|Horror,m1278,1974,13,36,156,422,566,566,422,2181,845.8000000000001
1007,1079,"Fish Called Wanda, A (1988)",Comedy,m1079,1988,19,76,244,572,415,415,572,2313,841.7
2931,3147,"Green Mile, The (1999)",Drama|Thriller,m3147,1999,17,54,170,463,518,518,463,2203,838.5
1132,1222,Full Metal Jacket (1987),Action|Drama|War,m1222,1987,12,38,218,517,469,469,517,2240,837.6
1574,1721,Titanic (1997),Drama|Romance,m1721,1997,100,176,381,500,389,389,500,2435,831.5
1118,1208,Apocalypse Now (1979),Drama|War,m1208,1979,16,41,165,373,581,581,373,2130,828.4
1260,1358,Sling Blade (1996),Drama|Thriller,m1358,1996,15,34,147,476,505,505,476,2158,826.9
862,923,Citizen Kane (1941),Drama,m923,1941,9,34,129,286,658,658,286,2060,826.8
1130,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,m1220,1980,20,77,302,507,435,435,507,2283,826.2
1116,1206,"Clockwork Orange, A (1971)",Sci-Fi,m1206,1971,55,67,179,354,574,574,354,2157,824.6
144,150,Apollo 13 (1995),Drama,m150,1995,7,31,224,590,399,399,590,2240,824.5
3508,3751,Chicken Run (2000),Animation|Children's|Comedy,m3751,2000,32,74,279,581,363,363,581,2273,810.4
843,904,Rear Window (1954),Mystery|Thriller,m904,1954,1,11,79,355,604,604,355,2009,810.3
2501,2706,American Pie (1999),Comedy,m2706,1999,69,122,300,550,348,348,550,2287,796.4000000000001
3177,3408,Erin Brockovich (2000),Drama,m3408,2000,24,68,281,632,310,310,632,2257,796.0
3189,3421,Animal House (1978),Comedy,m3421,1978,23,68,203,441,472,472,441,2120,792.3
1453,1584,Contact (1997),Drama|Sci-Fi,m1584,1997,37,107,356,521,361,361,521,2264,789.5999999999999
1003,1073,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,m1073,1971,29,106,289,483,406,406,483,2202,788.3
574,588,Aladdin (1992),Animation|Children's|Comedy|Musical,m588,1992,31,92,328,581,319,319,581,2251,784.0
852,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,m913,1941,6,17,101,353,566,566,353,1962,781.3
1196,1288,This Is Spinal Tap (1984),Comedy|Drama|Musical,m1288,1984,23,53,139,388,515,515,388,2021,778.1
3186,3418,Thelma & Louise (1991),Action|Drama,m3418,1991,38,109,404,583,283,283,583,2283,773.0
1993,2174,Beetlejuice (1988),Comedy|Fantasy,m2174,1988,45,148,449,619,234,234,619,2348,772.3
1294,1393,Jerry Maguire (1996),Drama|Romance,m1393,1996,24,90,349,615,275,275,615,2243,770.6
2099,2291,Edward Scissorhands (1990),Drama|Romance,m2291,1990,38,150,435,601,249,249,601,2323,769.4
1150,1242,Glory (1989),Action|Drama|War,m1242,1989,2,19,179,474,438,438,474,2024,766.0
2495,2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,m2700,1999,108,100,208,425,428,428,425,2122,765.9000000000001
46,47,Seven (Se7en) (1995),Crime|Thriller,m47,1995,21,50,171,440,455,455,440,2032,765.9000000000001
1143,1234,"Sting, The (1973)",Comedy|Crime,m1234,1973,3,18,116,415,497,497,415,1961,765.2
1018,1090,Platoon (1986),Drama|War,m1090,1986,9,49,180,497,408,408,497,2048,762.7
2488,2692,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,m2692,1998,12,39,124,418,479,479,418,1969,758.7
1406,1527,"Fifth Element, The (1997)",Action|Sci-Fi,m1527,1997,69,136,332,524,316,316,524,2217,758.6
908,969,"African Queen, The (1951)",Action|Adventure|Romance|War,m969,1951,7,29,127,422,472,472,422,1951,752.8000000000001
578,592,Batman (1989),Action|Adventure|Crime|Drama,m592,1989,43,133,433,565,257,257,565,2253,748.6
699,733,"Rock, The (1996)",Action|Adventure|Thriller,m733,1996,30,97,386,528,299,299,528,2167,741.3
1202,1294,M*A*S*H (1970),Comedy|War,m1294,1970,16,38,178,428,439,439,428,1966,741.1
370,380,True Lies (1994),Action|Adventure|Comedy|Romance,m380,1994,30,116,438,568,248,248,568,2216,737.6
859,920,Gone with the Wind (1939),Drama|Romance|War,m920,1939,33,68,241,341,473,473,341,1970,732.8
2202,2395,Rushmore (1998),Comedy,m2395,1998,40,105,256,427,392,392,427,2039,731.9000000000001
3429,3671,Blazing Saddles (1974),Comedy|Western,m3671,1974,21,49,207,421,421,421,421,1961,729.0
1258,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi,m1356,1996,29,105,348,564,264,264,564,2138,728.8
38,39,Clueless (1995),Comedy|Romance,m39,1995,45,110,385,595,227,227,595,2184,728.8
627,648,Mission: Impossible (1996),Action|Adventure|Mystery,m648,1996,53,193,510,582,189,189,582,2298,728.7
1504,1641,"Full Monty, The (1997)",Comedy,m1641,1997,22,79,259,509,330,330,509,2038,725.3
1166,1258,"Shining, The (1980)",Horror,m1258,1980,19,44,187,391,446,446,391,1924,725.1
1142,1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,m1233,1981,6,28,114,362,491,491,362,1854,724.9000000000001
2213,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,m2406,1984,13,93,420,592,227,227,592,2164,723.9000000000001
2013,2194,"Untouchables, The (1987)",Action|Crime|Drama,m2194,1987,2,35,232,541,317,317,541,1985,717.8
3510,3753,"Patriot, The (2000)",Action|Drama|War,m3753,2000,55,96,283,482,324,324,482,2046,715.8000000000001
20,21,Get Shorty (1995),Action|Comedy|Drama,m21,1995,24,127,418,553,234,234,553,2143,711.5
1117,1207,To Kill a Mockingbird (1962),Drama,m1207,1962,9,12,85,291,531,531,291,1750,702.8
1158,1250,"Bridge on the River Kwai, The (1957)",Drama|War,m1250,1957,5,12,89,341,491,491,341,1770,701.8
1774,1954,Rocky (1976),Action|Drama,m1954,1976,18,71,236,436,368,368,436,1933,701.4
1445,1573,Face/Off (1997),Action|Sci-Fi|Thriller,m1573,1997,110,183,388,507,233,233,507,2161,700.8000000000001
3651,3897,Almost Famous (2000),Comedy|Drama,m3897,2000,7,22,132,411,422,422,411,1827,699.7
2480,2683,Austin Powers: The Spy Who Shagged Me (1999),Comedy,m2683,1999,108,199,411,460,256,256,460,2150,696.0
2944,3160,Magnolia (1999),Drama,m3160,1999,54,89,187,374,409,409,374,1896,695.9000000000001
3294,3527,Predator (1987),Action|Sci-Fi|Thriller,m3527,1987,36,110,383,506,262,262,506,2065,695.8
1022,1094,"Crying Game, The (1992)",Drama|Romance|War,m1094,1992,42,87,317,496,287,287,496,2012,694.7
347,357,Four Weddings and a Funeral (1994),Comedy|Romance,m357,1994,27,80,334,533,259,259,533,2025,694.4
1066,1148,"Wrong Trousers, The (1993)",Animation|Comedy,m1148,1993,6,9,48,287,532,532,287,1701,692.3000000000001
2959,3176,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller,m3176,1999,76,157,344,529,225,225,529,2085,688.2
1398,1517,Austin Powers: International Man of Mystery (1997),Comedy,m1517,1997,59,103,273,463,307,307,463,1975,687.4
354,364,"Lion King, The (1994)",Animation|Children's|Musical,m364,1994,25,67,259,458,312,312,458,1891,671.6
1537,1674,Witness (1985),Drama|Romance|Thriller,m1674,1985,5,32,207,520,282,282,520,1848,666.6
1174,1266,Unforgiven (1992),Western,m1266,1992,21,28,172,395,381,381,395,1773,663.6
1384,1500,Grosse Pointe Blank (1997),Comedy|Crime,m1500,1997,15,62,289,524,246,246,524,1906,661.4000000000001
1184,1276,Cool Hand Luke (1967),Comedy|Drama,m1276,1967,3,16,131,372,408,408,372,1710,657.6
1536,1673,Boogie Nights (1997),Drama,m1673,1997,45,79,274,423,307,307,423,1858,652.0
2078,2268,"Few Good Men, A (1992)",Crime|Drama,m2268,1992,4,54,238,480,285,285,480,1826,651.7
842,903,Vertigo (1958),Mystery|Thriller,m903,1958,3,22,113,354,413,413,354,1672,647.1
2334,2529,Planet of the Apes (1968),Action|Sci-Fi,m2529,1968,35,100,313,430,284,284,430,1876,646.2
581,595,Beauty and the Beast (1991),Animation|Children's|Musical,m595,1991,31,69,235,380,345,345,380,1785,643.5
3132,3361,Bull Durham (1988),Comedy,m3361,1988,17,61,281,460,276,276,460,1831,642.2
2128,2321,Pleasantville (1998),Comedy,m2321,1998,21,91,323,506,217,217,506,1881,636.5
3134,3363,American Graffiti (1973),Comedy|Drama,m3363,1973,3,39,202,431,315,315,431,1736,634.0
1584,1732,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,m1732,1998,49,100,256,376,316,316,376,1789,628.6
2110,2302,My Cousin Vinny (1992),Comedy,m2302,1992,13,70,277,504,222,222,504,1812,624.6
1114,1204,Lawrence of Arabia (1962),Adventure|War,m1204,1962,5,23,82,244,477,477,244,1552,622.1
284,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,m293,1994,9,31,151,394,338,338,394,1655,618.2
1277,1376,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,m1376,1986,39,101,297,460,229,229,460,1815,615.5
1109,1199,Brazil (1985),Sci-Fi,m1199,1985,21,72,126,272,422,422,272,1607,614.0
963,1028,Mary Poppins (1964),Children's|Comedy|Musical,m1028,1964,22,72,226,362,329,329,362,1702,613.5
2097,2289,"Player, The (1992)",Comedy|Drama,m2289,1992,13,40,207,428,290,290,428,1696,612.6
1934,2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure,m2115,1984,25,112,320,416,254,254,416,1797,611.2
2143,2336,Elizabeth (1998),Drama,m2336,1998,10,44,165,408,311,311,408,1657,609.3
2438,2640,Superman (1978),Action|Adventure|Sci-Fi,m2640,1978,27,118,419,488,170,170,488,1880,607.4
2683,2890,Three Kings (1999),Drama|War,m2890,1999,31,74,215,442,259,259,442,1722,606.5
1297,1396,Sneakers (1992),Crime|Drama|Sci-Fi,m1396,1992,10,72,319,494,196,196,494,1781,602.4000000000001
3216,3448,"Good Morning, Vietnam (1987)",Comedy|Drama|War,m3448,1987,15,53,322,507,185,185,507,1774,599.4
849,910,Some Like It Hot (1959),Comedy|Crime,m910,1959,5,19,106,293,409,409,293,1534,599.2
1516,1653,Gattaca (1997),Drama|Sci-Fi|Thriller,m1653,1997,25,98,291,412,251,251,412,1740,597.1
10,11,"American President, The (1995)",Comedy|Drama|Romance,m11,1995,11,62,262,492,206,206,492,1731,596.8000000000001
2773,2985,Robocop (1987),Action|Crime|Sci-Fi,m2985,1987,48,148,396,475,162,162,475,1866,596.7
1008,1080,Monty Python's Life of Brian (1979),Comedy,m1080,1979,14,45,176,366,325,325,366,1617,595.7
3032,3256,Patriot Games (1992),Action|Thriller,m3256,1992,8,65,277,534,168,168,534,1754,595.0
1545,1682,"Truman Show, The (1998)",Drama,m1682,1998,11,48,261,434,251,251,434,1690,593.7
3031,3255,"League of Their Own, A (1992)",Comedy|Drama,m3255,1992,14,74,337,499,175,175,499,1773,591.8
1900,2081,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,m2081,1989,34,75,261,404,261,261,404,1700,591.7
2558,2763,"Thomas Crown Affair, The (1999)",Action|Thriller,m2763,1999,28,97,290,496,178,178,496,1763,590.4
339,349,Clear and Present Danger (1994),Action|Adventure|Thriller,m349,1994,10,63,295,530,161,161,530,1750,589.5
2455,2657,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,m2657,1975,145,177,324,348,239,239,348,1820,587.9
3029,3253,Wayne's World (1992),Comedy,m3253,1992,29,99,337,480,175,175,480,1775,586.5
3318,3552,Caddyshack (1980),Comedy,m3552,1980,24,94,186,365,298,298,365,1630,584.5
2058,2248,Say Anything... (1989),Comedy|Drama|Romance,m2248,1989,7,28,197,392,290,290,392,1596,581.8000000000001
3460,3702,Mad Max (1979),Action|Sci-Fi,m3702,1979,27,105,287,427,220,220,427,1713,580.7
2794,3006,"Insider, The (1999)",Drama,m3006,1999,7,35,153,393,296,296,393,1573,580.5
1190,1282,Fantasia (1940),Animation|Children's|Musical,m1282,1940,37,63,198,300,345,345,300,1588,580.1
3383,3623,Mission: Impossible 2 (2000),Action|Thriller,m3623,2000,110,234,401,425,143,143,425,1881,575.2
35,36,Dead Man Walking (1995),Drama,m36,1995,6,40,213,397,272,272,397,1597,574.5
1773,1953,"French Connection, The (1971)",Action|Crime|Drama|Thriller,m1953,1971,5,25,151,379,301,301,379,1541,572.4000000000001
1271,1370,Die Hard 2 (1990),Action|Thriller,m1370,1990,32,105,380,452,166,166,452,1753,569.2
583,597,Pretty Woman (1990),Comedy|Romance,m597,1990,43,97,276,406,224,224,406,1676,569.0
2857,3072,Moonstruck (1987),Comedy,m3072,1987,28,68,243,389,254,254,389,1625,568.7
1306,1408,"Last of the Mohicans, The (1992)",Action|Romance|War,m1408,1992,18,71,241,390,255,255,390,1620,568.5
460,474,In the Line of Fire (1993),Action|Thriller,m474,1993,6,36,250,510,170,170,510,1652,568.4000000000001
3461,3703,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi,m3703,1981,36,89,276,408,225,225,408,1667,568.3
2739,2947,Goldfinger (1964),Action,m2947,1964,11,29,178,436,243,243,436,1576,567.5
1502,1639,Chasing Amy (1997),Drama|Romance,m1639,1997,37,64,212,416,237,237,416,1619,567.1
5,6,Heat (1995),Action|Crime|Thriller,m6,1995,14,58,216,392,260,260,392,1592,566.0
2838,3052,Dogma (1999),Comedy,m3052,1999,44,106,212,355,272,272,355,1616,565.7
1817,1997,"Exorcist, The (1973)",Horror,m1997,1973,39,59,147,297,343,343,297,1525,565.6
573,587,Ghost (1990),Comedy|Romance|Thriller,m587,1990,56,124,338,418,188,188,418,1730,565.4
537,551,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,m551,1993,43,84,240,373,256,256,373,1625,564.9
1476,1608,Air Force One (1997),Action|Thriller,m1608,1997,34,86,327,471,158,158,471,1705,561.3
525,539,Sleepless in Seattle (1993),Comedy|Romance,m539,1993,19,76,258,402,231,231,402,1619,559.9
1029,1101,Top Gun (1986),Action|Romance,m1101,1986,37,85,266,392,230,230,392,1632,559.0
1175,1267,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,m1267,1962,2,15,92,273,383,383,273,1421,557.5999999999999
1111,1201,"Good, The Bad and The Ugly, The (1966)",Action|Western,m1201,1966,14,21,132,329,326,326,329,1477,557.1
1125,1215,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi,m1215,1993,32,75,214,349,275,275,349,1569,556.0
2757,2968,Time Bandits (1981),Adventure|Fantasy|Sci-Fi,m2968,1981,24,95,274,390,227,227,390,1627,555.9000000000001
307,316,Stargate (1994),Action|Adventure|Sci-Fi,m316,1994,38,137,350,422,169,169,422,1707,552.5
970,1035,"Sound of Music, The (1965)",Musical,m1035,1965,37,69,168,251,357,357,251,1490,551.8
2701,2908,Boys Don't Cry (1999),Drama,m2908,1999,25,44,153,300,328,328,300,1478,549.6
426,440,Dave (1993),Comedy|Romance,m440,1993,9,32,264,467,176,176,467,1591,546.3000000000001
1154,1246,Dead Poets Society (1989),Drama,m1246,1989,11,39,170,349,286,286,349,1490,545.7
24,25,Leaving Las Vegas (1995),Drama|Romance,m25,1995,53,87,237,375,228,228,375,1583,543.1
1492,1625,"Game, The (1997)",Mystery|Thriller,m1625,1997,9,52,186,394,241,241,394,1517,542.1
1094,1183,"English Patient, The (1996)",Drama|Romance|War,m1183,1996,60,127,222,310,270,270,310,1569,541.8
2160,2353,Enemy of the State (1998),Action|Thriller,m2353,1998,17,72,280,453,166,166,453,1607,540.3000000000001
16,17,Sense and Sensibility (1995),Drama|Romance,m17,1995,13,31,159,349,283,283,349,1467,539.6
2505,2710,"Blair Witch Project, The (1999)",Horror,m2710,1999,219,215,291,332,180,180,332,1749,539.4
2865,3081,Sleepy Hollow (1999),Horror|Romance,m3081,1999,37,101,327,476,125,125,476,1667,538.7
838,899,Singin' in the Rain (1952),Musical|Romance,m899,1952,8,22,106,228,387,387,228,1366,535.0999999999999
1883,2064,Roger & Me (1989),Comedy|Documentary,m2064,1989,19,42,112,313,312,312,313,1423,534.5
1919,2100,Splash (1984),Comedy|Fantasy|Romance,m2100,1984,22,111,483,438,109,109,438,1710,527.9
892,953,It's a Wonderful Life (1946),Drama,m953,1946,9,25,93,214,388,388,214,1331,524.4
1831,2011,Back to the Future Part II (1989),Comedy|Sci-Fi,m2011,1989,48,158,417,418,117,117,418,1693,522.5
1732,1912,Out of Sight (1998),Action|Crime|Romance,m1912,1998,15,58,246,366,223,223,366,1497,520.7
2990,3210,Fast Times at Ridgemont High (1982),Comedy,m3210,1982,14,55,227,355,235,235,355,1476,519.2
3266,3499,Misery (1990),Horror,m3499,1990,16,42,222,404,200,200,404,1488,518.8
1207,1299,"Killing Fields, The (1984)",Drama|War,m1299,1984,4,16,96,294,322,322,294,1348,518.8
357,367,"Mask, The (1994)",Comedy|Crime|Fantasy,m367,1994,67,177,420,390,125,125,390,1694,518.3
